name,abn,total_income,taxable_income,tax_payable,income_year,postcode
ALLNEX AUSTRALIA PTY. LTD.,24160397768,312798374,8906005.0,1990172.0,2021-22,2019
ALLSEAS MARINE CONTRACTORS AUSTRALIA PTY LTD,81158534582,237741006,7398939.0,2219682.0,2021-22,6000
ALMONDCO AUSTRALIA LIMITED,81062887352,125646455,,,2021-22,5341
ALS LIMITED,92009657489,888679952,59562523.0,15012151.0,2021-22,4006
ALSCO PTY LIMITED,26000435629,282977799,43938993.0,13111927.0,2021-22,2067
ALSTOM TRANSPORT AUSTRALIA HOLDINGS PTY LIMITED,28644102992,689201346,10319077.0,3095723.0,2021-22,6000
ALTOMONTE HOLDINGS PTY LIMITED,18000821910,602468410,8920012.0,2676004.0,2021-22,2067
ALUMINA LIMITED,85004820419,250186531,348351711.0,,2021-22,3006
ALUMINIUM SPECIALTIES GROUP PTY LTD,63001252259,401117585,30235809.0,9070743.0,2021-22,2766
AM DIAGNOSTICS PTY LTD,36604119360,332651280,30452633.0,9135790.0,2021-22,6060
AMA GROUP LIMITED,50113883560,545136346,,,2021-22,3004
AMARI METALS AUSTRALIA PTY LTD,13004496128,386586026,32646546.0,9793964.0,2021-22,2113
AMAZON COMMERCIAL SERVICES PTY LTD,30616935623,1758053293,134062835.0,40068107.0,2021-22,2000
AMAZON CORPORATE SERVICES PTY LTD,95082931600,811074526,135666121.0,40699836.0,2021-22,2153
AMAZON SUPPORT SERVICES PTY LTD,77163823416,114957724,19912856.0,5973857.0,2021-22,2000
AMAZON WEB SERVICES AUSTRALIA PTY LTD,63605345891,1114921433,141510245.0,42453074.0,2021-22,2000
AMB HOLDINGS PTY LTD,85084557737,274252734,293794752.0,,2021-22,6008
AMCI INVESTMENTS PTY LTD,30112315661,173313986,,,2021-22,2000
AMCOR PTY LTD,62000017372,1282509335,1559448.0,,2021-22,3006
AMDOCS (AUSTRALIA) PTY LTD,96098687006,108193860,9982688.0,2994806.0,2021-22,3000
AMERICAN EXPRESS AUSTRALIA LIMITED,92108952085,1091200000,124347569.0,37304271.0,2021-22,2000
AMERICOLD AUSTRALIAN HOLDINGS PTY LTD,48117491291,327835573,16560311.0,4968093.0,2021-22,2148
AMEROPA AUSTRALIA PTY LTD,21009504394,720431808,56054797.0,16816439.0,2021-22,3004
AMGEN AUSTRALIA PTY LIMITED,31051057428,483571510,50707724.0,9174793.0,2021-22,2000
AMP LIMITED,49079354519,3024659382,,,2021-22,2000
AMPCI MACARTHUR WIND HOLDCO PTY LTD,69636886541,205218827,,,2021-22,2000
AMPCONTROL LIMITED,28000915542,205545366,,,2021-22,2322
AMPHORA AUSTRALIA PTY LTD,50625199322,445717193,,,2021-22,5000
AMPLIFON AUSTRALIA HOLDING PTY LTD,34147231561,219042170,,,2021-22,2066
AMPLIFY BIDCO PTY LTD,30636456623,289542749,,,2021-22,2089
AMPOL LIMITED,40004201307,23160117702,209607564.0,48828935.0,2021-22,2015
ANCA PTY LTD,43005163244,207842276,33191692.0,,2021-22,3153
ANDREWS MEAT INDUSTRIES PTY LTD,16600428537,209456176,17489277.0,4501069.0,2021-22,2141
ANGLO AMERICAN AUSTRALIA LTD,47004892371,3995439345,411028759.0,,2021-22,4000
ANGLO AMERICAN TECHNICAL & SUSTAINABILITY SERVICES LTD,81629813216,125546394,22726912.0,6818074.0,2021-22,4000
ANGLOGOLD INVESTMENTS AUSTRALIA PTY LTD,48090112459,1194753447,,,2021-22,6000
ANIXTER AUSTRALIA PTY LTD,68055815551,313766868,47316024.0,14194807.0,2021-22,2128
ANL CONTAINER LINE PTY LTD,41083962136,568255240,47634844.0,14095844.0,2021-22,3006
ANSELL LIMITED,89004085330,283610214,,,2021-22,3121
ANSVAR INSURANCE LIMITED,21007216506,296620444,,,2021-22,3006
ANTICIMEX PTY LTD,24162914374,196327625,20112509.0,6033753.0,2021-22,2140
ANTIPODES GLOBAL INVESTMENT COMPANY PTY LIMITED,38612843517,846262439,76565693.0,22271212.0,2021-22,4000
ANZ HOSPITALS TOPCO PTY LTD,20631014965,2663845714,,,2021-22,2000
AON CONSOLIDATED GROUP PTY LTD,38090132675,577460000,93527782.0,27985598.0,2021-22,2000
AOYUAN PROPERTY GROUP (AUSTRALIA) PTY LIMITED,97600594125,203797716,22835513.0,,2021-22,2000
APA INFRASTRUCTURE TRUST,21858175226,2774944721,314142955.0,86692324.0,2021-22,2000
APCO SERVICE STATIONS PTY LTD,91007229898,641144796,9791425.0,2937428.0,2021-22,3280
APEX STEEL PTY LTD,88080253756,208303909,22783256.0,6834977.0,2021-22,3175
APH TOP CO PTY LIMITED,96608192374,422243295,14293032.0,4287910.0,2021-22,3000
APM HUMAN SERVICES INTERNATIONAL LIMITED,38639621766,695082224,77506031.0,23251809.0,2021-22,6005
APOG TOPCO PTY LTD,66654198268,352544809,,,2021-22,4101
APOLLO HOLDCO PTY LTD,68626190896,574853251,70065535.0,21019660.0,2021-22,2000
APOLLO TOURISM & LEISURE LTD,67614714742,210072296,,,2021-22,3067
APPLE PTY LTD,46002510054,9335050508,458656103.0,137312506.0,2021-22,138634
APPLIED AUSTRALIA HOLDINGS PTY LTD,48156643462,106186319,8165381.0,2449614.0,2021-22,3166
AQUALAND HOLDING PTY LTD,19614472347,309252184,,,2021-22,2000
AQUASURE FINANCE PTY LTD,35136072627,318719912,,,2021-22,3006
AQUASURE HOLDINGS PTY LTD,46135956053,369502437,107955505.0,32386652.0,2021-22,3006
ARA GROUP LIMITED,47074886561,578888056,34925539.0,10152224.0,2021-22,2065
ARAFURA PACIFIC PTY LTD,29151898029,261113202,,,2021-22,4000
ARAMEX FASTWAY HOLDINGS PTY. LTD.,86609553513,172251296,4346160.0,1303848.0,2021-22,2000
ARB CORPORATION LTD,31006708756,594165502,123817401.0,35799267.0,2021-22,3137
ARCADIAN ORGANIC & NATURAL MEAT CO PTY LIMITED,37158956864,103920550,3005624.0,901687.0,2021-22,4350
ARCADIS AUSTRALIA PACIFIC HOLDINGS PTY LTD,56608711351,281479644,29214783.0,7569088.0,2021-22,2000
ARCHITECTURAL WINDOW SYSTEMS PTY LIMITED,48067950903,142829170,17256509.0,4459524.0,2021-22,2170
ARCHMONT INVESTMENTS PTY LTD,68063715033,225560793,,,2021-22,6005
ARDENT LEISURE GROUP LIMITED,51628881603,605125907,,,2021-22,2060
ARDEX AUSTRALIA PTY LIMITED,82000550005,114825160,14573194.0,3484046.0,2021-22,2147
ARE MEDIA HOLDCO PTY LTD,30649385044,245663393,13555199.0,4020802.0,2021-22,2000
ARGO INVESTMENTS LIMITED,35007519520,348962863,538060161.0,50414039.0,2021-22,5000
ARISTOCRAT LEISURE LIMITED,44002818368,1541419561,447719809.0,114619268.0,2021-22,2113
ARJ GROUP HOLDINGS PTY LTD,31104958527,362469428,,,2021-22,3121
ARKEMA PTY LTD,44000330772,109661388,,,2021-22,3006
ARLA FOODS MAYER AUSTRALIA PTY LTD,78167620706,148295124,7083314.0,2124994.0,2021-22,2019
ARROTEX HOLDINGS PTY LTD,47630331814,1153293783,128617665.0,36646230.0,2021-22,3121
ARROW COMMODITIES PTY LIMITED,17078081428,1438093083,80008885.0,24002666.0,2021-22,2010
ARROW ELECTRONICS ANZ HOLDINGS PTY LTD,90102589515,354586579,18061864.0,5418559.0,2021-22,3153
ARROW ENERGY HOLDINGS PTY LTD,94141385293,360007794,,,2021-22,4000
ARTHREX AUSTRALIA PTY LTD,40627466979,109578628,,,2021-22,2086
ARUP AUSTRALIA SERVICES PTY LTD,36625911686,562064035,3083489.0,,2021-22,2000
ARVINMERITOR LIGHT VEHICLE SYSTEMS AUSTRALIA PTY LTD,46004314372,124981535,14463019.0,4338906.0,2021-22,3020
ARYZTA HOLDINGS ASIA PACIFIC PTY LIMITED,57146007365,192906712,14467599.0,4340280.0,2021-22,2190
ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48135315767,5564209796,912760304.0,269065945.0,2021-22,3006
ASC PTY LTD,64008605034,583533882,53896005.0,16168802.0,2021-22,5017
ASC SHIPBUILDING PTY LIMITED,15051899864,388804968,21531438.0,6459431.0,2021-22,5017
ASG BRISBANE PTY LTD,72614297684,206413156,10242670.0,3072801.0,2021-22,4006
ASG MELBOURNE PTY LTD,64616840110,537753015,23732885.0,7119865.0,2021-22,2040
ASHLEY SERVICES GROUP LIMITED,92094747510,414082142,2981302.0,894391.0,2021-22,2148
ASICS OCEANIA PTY LTD,59003091389,301280136,43465760.0,13039728.0,2021-22,2765
